# Idioms by Language

This is a extensive (though inevitably incomplete) list. I've tried to span as many languages and idioms as I can recall.

---

## English

Break a leg | English
Bite the bullet | English
Hit the nail on the head | English
Let the cat out of the bag | English
Piece of cake | English
Spill the beans | English
Under the weather | English
Cost an arm and a leg | English
Beat around the bush | English
Burn the midnight oil | English
A penny for your thoughts | English
Add insult to injury | English
Back to the drawing board | English
Barking up the wrong tree | English
Best of both worlds | English
Bite off more than you can chew | English
Blessing in disguise | English
Break the ice | English
Burn bridges | English
Call it a day | English
Cry over spilled milk | English
Cut corners | English
Play devil's advocate | English
Don't count your chickens before they hatch | English
Don't put all your eggs in one basket | English
Every cloud has a silver lining | English
Get out of hand | English
Get the ball rolling | English
Give someone the benefit of the doubt | English
Go back to square one | English
Hit the sack | English
It takes two to tango | English
Jump on the bandwagon | English
Keep your chin up | English
Kill two birds with one stone | English
Leave no stone unturned | English
Let sleeping dogs lie | English
Miss the boat | English
No pain, no gain | English
On thin ice | English
Once in a blue moon | English
Pull someone's leg | English
Raining cats and dogs | English
Read between the lines | English
See eye to eye | English
Sit on the fence | English
Speak of the devil | English
Steal someone's thunder | English
Take it with a grain of salt | English
The ball is in your court | English
The best thing since sliced bread | English
The elephant in the room | English
The last straw | English
Throw in the towel | English
Time flies | English
Turn a blind eye | English
We'll cross that bridge when we come to it | English
When pigs fly | English
The whole nine yards | English
Wrap your head around something | English
You can't judge a book by its cover | English
A bird in the hand is worth two in the bush | English
A dime a dozen | English
Actions speak louder than words | English
Add fuel to the fire | English
At the drop of a hat | English
Back against the wall | English
Bigger fish to fry | English
Birds of a feather flock together | English
Blood is thicker than water | English
Blow off steam | English
By the skin of your teeth | English
Can't hold a candle to | English
Between a rock and a hard place | English
A clean slate | English
Give someone the cold shoulder | English
Cool as a cucumber | English
Not my cup of tea | English
Cut to the chase | English
Down to earth | English
Drive someone up the wall | English
A drop in the bucket | English
Easier said than done | English
Eat humble pie | English
Face the music | English
Fed up | English
A fish out of water | English
Fit as a fiddle | English
Fly off the handle | English
Food for thought | English
From rags to riches | English
Get cold feet | English
Go the extra mile | English
Hang in there | English
Have a chip on your shoulder | English
Head in the clouds | English
Heart of gold | English
Hit the books | English
Hold your horses | English
In hot water | English
In the nick of time | English
It's not rocket science | English
Jack of all trades, master of none | English
Keep an eye on | English
Kick the bucket | English
Knock on wood | English
Last but not least | English
Like riding a bicycle | English
Long story short | English
Lose your marbles | English
Method to the madness | English
A needle in a haystack | English
Not playing with a full deck | English
Off the hook | English
On cloud nine | English
Out of the blue | English
Over the moon | English
Opening Pandora's box | English
Pay through the nose | English
Play it by ear | English
Pull yourself together | English
Put your foot in your mouth | English
Right as rain | English
Rob Peter to pay Paul | English
Rome wasn't built in a day | English
Rub salt in the wound | English
Run of the mill | English
A saving grace | English
Shape up or ship out | English
Shoot the breeze | English
A skeleton in the closet | English
Smoke and mirrors | English
Straight from the horse's mouth | English
Take the bull by the horns | English
The apple doesn't fall far from the tree | English
The tip of the iceberg | English
Through thick and thin | English
Throw caution to the wind | English
Too many cooks spoil the broth | English
Turn over a new leaf | English
Two peas in a pod | English
Up in the air | English
Water under the bridge | English
Wear your heart on your sleeve | English
When it rains, it pours | English
A wild goose chase | English
A wolf in sheep's clothing | English
Wouldn't hurt a fly | English
The writing on the wall | English
You reap what you sow | English
An eye for an eye | English
All that glitters is not gold | English
Bury the hatchet | English
Caught red-handed | English
Close but no cigar | English
Come hell or high water | English
Curiosity killed the cat | English
Don't bite the hand that feeds you | English
Every dog has its day | English
Get a taste of your own medicine | English
Go down in flames | English
Gut feeling | English
Have your cake and eat it too | English
Hit the ground running | English
Ignorance is bliss | English
In a nutshell | English
It's a small world | English
Jump the gun | English
Keep your eyes peeled | English
Let bygones be bygones | English
Like a bull in a china shop | English
Live and learn | English
Make ends meet | English
Money doesn't grow on trees | English
Nip it in the bud | English
No use crying over spilled milk | English
Off the top of my head | English
On the same page | English
Out of sight, out of mind | English
The pot calling the kettle black | English
Practice makes perfect | English
Put the cart before the horse | English
Read someone like a book | English
Roll up your sleeves | English
A stitch in time saves nine | English
Take a rain check | English
The early bird catches the worm | English
The grass is always greener on the other side | English
The proof is in the pudding | English
The squeaky wheel gets the grease | English
There's no place like home | English
Tighten your belt | English
Tongue in cheek | English
Twist someone's arm | English
Two wrongs don't make a right | English
Up a creek without a paddle | English
Variety is the spice of life | English
Walking on eggshells | English
Woke up on the wrong side of the bed | English
You can lead a horse to water but you can't make it drink | English
Your guess is as good as mine | English
Zip your lip | English
A picture is worth a thousand words | English
Absence makes the heart grow fonder | English
Back to basics | English
Better late than never | English
Bite your tongue | English
Born with a silver spoon in your mouth | English
Bread and butter | English
Burning the candle at both ends | English
Butter someone up | English
By hook or by crook | English
Cat got your tongue | English
Come rain or shine | English
Dead as a doornail | English
Dog eat dog | English
Don't look a gift horse in the mouth | English
Draw the line | English
Easy as pie | English
Elbow grease | English
Fall on deaf ears | English
Feel under the weather | English
Get your ducks in a row | English
Give the green light | English
Go out on a limb | English
Grasping at straws | English
Have an axe to grind | English
Hit the road | English
Horse of a different color | English
In the same boat | English
Iron out the details | English
Jump through hoops | English
Keep a stiff upper lip | English
Keep your cards close to your chest | English
Know the ropes | English
Lend an ear | English
Let your hair down | English
Like pulling teeth | English
Live and let live | English
Make a mountain out of a molehill | English
Monkey see, monkey do | English
Move heaven and earth | English
Necessity is the mother of invention | English
No strings attached | English
Not all it's cracked up to be | English
Old habits die hard | English
On pins and needles | English
One man's trash is another man's treasure | English
Open a can of worms | English
Out of the frying pan and into the fire | English
Paint the town red | English
Pen is mightier than the sword | English
Play with fire | English
Pull the wool over someone's eyes | English
Raining on someone's parade | English
Rise and shine | English
Saved by the bell | English
See the light | English
Set the record straight | English
Shoot for the moon | English
Sink or swim | English
Snap out of it | English
So far so good | English
Sour grapes | English
Stick your neck out | English
Strike while the iron is hot | English
Swept under the rug | English
Take someone under your wing | English
That ship has sailed | English
The calm before the storm | English
The devil is in the details | English
The pen is mightier than the sword | English
The straw that broke the camel's back | English
There's more than one way to skin a cat | English
Throw someone under the bus | English
Walk a mile in someone's shoes | English
A watched pot never boils | English
What goes around comes around | English
Where there's smoke there's fire | English
Whet your appetite | English
Work against the clock | English
You can't teach an old dog new tricks | English
Zip it | English
A leopard can't change its spots | English
All bark and no bite | English
An ounce of prevention is worth a pound of cure | English
Apple of my eye | English
As the crow flies | English
At wit's end | English
Bark up the wrong tree | English
Beat a dead horse | English
Behind every great man there's a great woman | English
Bend over backwards | English
Between the devil and the deep blue sea | English
The Big Enchilada | English
Blow smoke | English
Break new ground | English
Bring home the bacon | English
Bull in a china shop | English
Bury your head in the sand | English
Busy as a bee | English
Buy a lemon | English
Carry a torch for someone | English
Caught with your hand in the cookie jar | English
Chew the fat | English
Clean as a whistle | English
Come apart at the seams | English
Cook someone's goose | English
Cross that bridge when you come to it | English
Cry wolf | English
Cut from the same cloth | English
Diamond in the rough | English
Don't rock the boat | English
Drag your feet | English
Drop like flies | English
Drown your sorrows | English
Eagle eye | English
Eat crow | English
Everything but the kitchen sink | English
Eye of the storm | English
Fair-weather friend | English
Fall from grace | English
Fight fire with fire | English
Fish for compliments | English
Flat broke | English
Follow your nose | English
Foot the bill | English
Get bent out of shape | English
Get up on the wrong side of the bed | English
Give an inch and they'll take a mile | English
Go against the grain | English
Good things come to those who wait | English
Green with envy | English
Have a bone to pick | English
Hear it through the grapevine | English
High and dry | English
Hit a home run | English
Hold all the cards | English
Hot under the collar | English
In one ear and out the other | English
In over your head | English
In someone's good books | English
In the doghouse | English
In the heat of the moment | English
Jockey for position | English
Jump ship | English
Keen as mustard | English
Keep it under your hat | English
Kick someone when they're down | English
Kill time | English
Knee-jerk reaction | English
Know which way the wind blows | English
Laid back | English
Land on your feet | English
Leave someone in the lurch | English
Like two ships passing in the night | English
Living on borrowed time | English
Look before you leap | English
Loose cannon | English
Luck of the draw | English
Make hay while the sun shines | English
Many hands make light work | English
Move the goalposts | English
Much ado about nothing | English
Neck of the woods | English
Nest egg | English
New kid on the block | English
No dice | English
Not in a million years | English
Odd man out | English
On the back burner | English
On top of the world | English
Once bitten, twice shy | English
One for the road | English
Paddle your own canoe | English
Pass the buck | English
People who live in glass houses shouldn't throw stones | English
Pick of the litter | English
Plain as day | English
Put all your cards on the table | English
Put on your thinking cap | English
Put two and two together | English
Raining buckets | English
Red herring | English
Ring a bell | English
Rock the boat | English
Ruffle someone's feathers | English
Run circles around someone | English
Run it up the flagpole | English
Separate the wheat from the chaff | English
Sharp as a tack | English
Show your true colors | English
Silver lining | English
Sit tight | English
Sleep on it | English
Spitting image | English
Spread yourself too thin | English
Start from scratch | English
Stick to your guns | English
Storm in a teacup | English
Straight as an arrow | English
Swallow your pride | English
Take a back seat | English
Take the cake | English
Taste of your own medicine | English
That's the way the cookie crumbles | English
The bigger they are, the harder they fall | English
Third time's the charm | English
Throw a wrench in the works | English
Time heals all wounds | English
Tongue-tied | English
Top dog | English
Tread on thin ice | English
Trial by fire | English
Turn the tables | English
Under your breath | English
Upset the apple cart | English
Vanish into thin air | English
Wake up and smell the coffee | English
Waste not, want not | English
Wet behind the ears | English
Where there's a will, there's a way | English
Win-win situation | English
Worth your salt | English
You scratch my back and I'll scratch yours | English
Zero in on | English

---

## Spanish

Estar en las nubes | Spanish
