Here is a comprehensive list of movie remakes:
Classic Era Remakes (Pre-1970)
Stella Dallas (1937) | Stella Dallas (1925)
His Girl Friday (1940) | The Front Page (1931)
Gaslight (1944) | Gaslight (1940)
The Maltese Falcon (1941) | The Maltese Falcon (1931)
Dr. Jekyll and Mr. Hyde (1941) | Dr. Jekyll and Mr. Hyde (1931)
Back Street (1941) | Back Street (1932)
The Glass Key (1942) | The Glass Key (1935)
The Phantom of the Opera (1943) | The Phantom of the Opera (1925)
In the Good Old Summertime (1949) | The Shop Around the Corner (1940)
Treasure Island (1950) | Treasure Island (1934)
M (1951) | M (1931)
Show Boat (1951) | Show Boat (1936)
The Prisoner of Zenda (1952) | The Prisoner of Zenda (1937)
House of Wax (1953) | Mystery of the Wax Museum (1933)
Magnificent Obsession (1954) | Magnificent Obsession (1935)
A Star is Born (1954) | A Star is Born (1937)
20,000 Leagues Under the Sea (1954) | 20,000 Leagues Under the Sea (1916)
The Man Who Knew Too Much (1956) | The Man Who Knew Too Much (1934)
The Ten Commandments (1956) | The Ten Commandments (1923)
An Affair to Remember (1957) | Love Affair (1939)
My Man Godfrey (1957) | My Man Godfrey (1936)
Imitation of Life (1959) | Imitation of Life (1934)
Ben-Hur (1959) | Ben-Hur: A Tale of the Christ (1925)
The Magnificent Seven (1960) | Seven Samurai (1954)
Cimarron (1960) | Cimarron (1931)
Back Street (1961) | Back Street (1932)
Mutiny on the Bounty (1962) | Mutiny on the Bounty (1935)
A Fistful of Dollars (1964) | Yojimbo (1961)
Stagecoach (1966) | Stagecoach (1939)
Beau Geste (1966) | Beau Geste (1939)
Goodbye, Mr. Chips (1969) | Goodbye, Mr. Chips (1939)
1970s Remakes
The Front Page (1974) | The Front Page (1931)
Farewell, My Lovely (1975) | Murder, My Sweet (1944)
A Star is Born (1976) | A Star is Born (1954)
King Kong (1976) | King Kong (1933)
Sorcerer (1977) | The Wages of Fear (1953)
Invasion of the Body Snatchers (1978) | Invasion of the Body Snatchers (1956)
Heaven Can Wait (1978) | Here Comes Mr. Jordan (1941)
The Big Sleep (1978) | The Big Sleep (1946)
The Champ (1979) | The Champ (1931)
Nosferatu the Vampyre (1979) | Nosferatu (1922)
Dracula (1979) | Dracula (1931)
1980s Remakes
The Postman Always Rings Twice (1981) | The Postman Always Rings Twice (1946)
Cat People (1982) | Cat People (1942)
The Thing (1982) | The Thing from Another World (1951)
The Toy (1982) | Le Jouet (1976)
Scarface (1983) | Scarface (1932)
Breathless (1983) | Breathless (1960)
Against All Odds (1984) | Out of the Past (1947)
The Bounty (1984) | Mutiny on the Bounty (1935)
The Razor's Edge (1984) | The Razor's Edge (1946)
The Woman in Red (1984) | Pardon Mon Affaire (1976)
Blame It on Rio (1984) | Un moment d'égarement (1977)
The Man with One Red Shoe (1985) | The Tall Blond Man with One Black Shoe (1972)
The Fly (1986) | The Fly (1958)
Little Shop of Horrors (1986) | The Little Shop of Horrors (1960)
Down and Out in Beverly Hills (1986) | Boudu Saved from Drowning (1932)
Three Men and a Baby (1987) | Three Men and a Cradle (1985)
D.O.A. (1988) | D.O.A. (1950)
The Blob (1988) | The Blob (1958)
Dirty Rotten Scoundrels (1988) | Bedtime Story (1964)
Switching Channels (1988) | His Girl Friday (1940)
Always (1989) | A Guy Named Joe (1943)
Cousins (1989) | Cousin, Cousine (1975)
Three Fugitives (1989) | Les Fugitifs (1986)
1990s Remakes
Narrow Margin (1990) | The Narrow Margin (1952)
Stella (1990) | Stella Dallas (1937)
Night of the Living Dead (1990) | Night of the Living Dead (1968)
Cape Fear (1991) | Cape Fear (1962)
Pure Luck (1991) | La Chèvre (1981)
Scent of a Woman (1992) | Profumo di donna (1974)
Night and the City (1992) | Night and the City (1950)
The Last of the Mohicans (1992) | The Last of the Mohicans (1936)
Sommersby (1993) | The Return of Martin Guerre (1982)
Point of No Return (1993) | La Femme Nikita (1990)
The Vanishing (1993) | The Vanishing (1988)
Body Snatchers (1993) | Invasion of the Body Snatchers (1956)
Born Yesterday (1993) | Born Yesterday (1950)
Intersection (1994) | Les choses de la vie (1970)
Love Affair (1994) | Love Affair (1939)
Angels in the Outfield (1994) | Angels in the Outfield (1951)
The Getaway (1994) | The Getaway (1972)
Miracle on 34th Street (1994) | Miracle on 34th Street (1947)
True Lies (1994) | La Totale! (1991)
Mixed Nuts (1994) | Le Père Noël est une ordure (1982)
Heat (1995) | L.A. Takedown (1989)
Village of the Damned (1995) | Village of the Damned (1960)
Kiss of Death (1995) | Kiss of Death (1947)
Sabrina (1995) | Sabrina (1954)
Nine Months (1995) | Neuf Mois (1994)
Diabolique (1996) | Les Diaboliques (1955)
The Birdcage (1996) | La Cage aux Folles (1978)
The Nutty Professor (1996) | The Nutty Professor (1963)
The Preacher's Wife (1996) | The Bishop's Wife (1947)
101 Dalmatians (1996) | One Hundred and One Dalmatians (1961)
The Island of Dr. Moreau (1996) | Island of Lost Souls (1932)
Last Man Standing (1996) | Yojimbo (1961)
Lolita (1997) | Lolita (1962)
The Jackal (1997) | The Day of the Jackal (1973)
Flubber (1997) | The Absent-Minded Professor (1961)
That Darn Cat (1997) | That Darn Cat! (1965)
Jungle 2 Jungle (1997) | Un indien dans la ville (1994)
Fathers' Day (1997) | Les Compères (1983)
Nightwatch (1997) | Nattevagten (1994)
A Perfect Murder (1998) | Dial M for Murder (1954)
City of Angels (1998) | Wings of Desire (1987)
Psycho (1998) | Psycho (1960)
The Parent Trap (1998) | The Parent Trap (1961)
Doctor Dolittle (1998) | Doctor Dolittle (1967)
Meet Joe Black (1998) | Death Takes a Holiday (1934)
Mighty Joe Young (1998) | Mighty Joe Young (1949)
You've Got Mail (1998) | The Shop Around the Corner (1940)
Great Expectations (1998) | Great Expectations (1946)
Gloria (1999) | Gloria (1980)
The Out-of-Towners (1999) | The Out-of-Towners (1970)
The Thomas Crown Affair (1999) | The Thomas Crown Affair (1968)
The Haunting (1999) | The Haunting (1963)
House on Haunted Hill (1999) | House on Haunted Hill (1959)
Payback (1999) | Point Blank (1967)
The Winslow Boy (1999) | The Winslow Boy (1948)
The Talented Mr. Ripley (1999) | Purple Noon (1960)
The Mummy (1999) | The Mummy (1932)
2000s Remakes
Bedazzled (2000) | Bedazzled (1967)
Get Carter (2000) | Get Carter (1971)
Gone in 60 Seconds (2000) | Gone in 60 Seconds (1974)
Shaft (2000) | Shaft (1971)
How the Grinch Stole Christmas (2000) | How the Grinch Stole Christmas! (1966)
Ocean's Eleven (2001) | Ocean's 11 (1960)
Planet of the Apes (2001) | Planet of the Apes (1968)
Vanilla Sky (2001) | Open Your Eyes (1997)
Thir13en Ghosts (2001) | 13 Ghosts (1960)
Just Visiting (2001) | Les Visiteurs (1993)
Insomnia (2002) | Insomnia (1997)
Solaris (2002) | Solaris (1972)
The Ring (2002) | Ringu (1998)
The Truth About Charlie (2002) | Charade (1963)
Rollerball (2002) | Rollerball (1975)
Swept Away (2002) | Swept Away (1974)
The Count of Monte Cristo (2002) | The Count of Monte Cristo (1934)
The Four Feathers (2002) | The Four Feathers (1939)
The Time Machine (2002) | The Time Machine (1960)
Unfaithful (2002) | La Femme Infidèle (1969)
The Texas Chainsaw Massacre (2003) | The Texas Chain Saw Massacre (1974)
Freaky Friday (2003) | Freaky Friday (1976)
The Italian Job (2003) | The Italian Job (1969)
Willard (2003) | Willard (1971)
Cheaper by the Dozen (2003) | Cheaper by the Dozen (1950)
The In-Laws (2003) | The In-Laws (1979)
The Grudge (2004) | Ju-On: The Grudge (2002)
Dawn of the Dead (2004) | Dawn of the Dead (1978)
The Manchurian Candidate (2004) | The Manchurian Candidate (1962)
The Stepford Wives (2004) | The Stepford Wives (1975)
The Ladykillers (2004) | The Ladykillers (1955)
Around the World in 80 Days (2004) | Around the World in Eighty Days (1956)
Flight of the Phoenix (2004) | The Flight of the Phoenix (1965)
Alfie (2004) | Alfie (1966)
Taxi (2004) | Taxi (1998)
Walking Tall (2004) | Walking Tall (1973)
Shall We Dance? (2004) | Shall We Dance? (1996)
Toolbox Murders (2004) | The Toolbox Murders (1978)
King Kong (2005) | King Kong (1933)
War of the Worlds (2005) | The War of the Worlds (1953)
Charlie and the Chocolate Factory (2005) | Willy Wonka & the Chocolate Factory (1971)
The Longest Yard (2005) | The Longest Yard (1974)
The Bad News Bears (2005) | The Bad News Bears (1976)
Dark Water (2005) | Dark Water (2002)
The Fog (2005) | The Fog (1980)
House of Wax (2005) | House of Wax (1953)
The Amityville Horror (2005) | The Amityville Horror (1979)
Yours, Mine & Ours (2005) | Yours, Mine and Ours (1968)
Fun with Dick and Jane (2005) | Fun with Dick and Jane (1977)
The Producers (2005) | The Producers (1967)
Guess Who (2005) | Guess Who's Coming to Dinner (1967)
Assault on Precinct 13 (2005) | Assault on Precinct 13 (1976)
The Hills Have Eyes (2006) | The Hills Have Eyes (1977)
The Omen (2006) | The Omen (1976)
When a Stranger Calls (2006) | When a Stranger Calls (1979)
The Wicker Man (2006) | The Wicker Man (1973)
Black Christmas (2006) | Black Christmas (1974)
Poseidon (2006) | The Poseidon Adventure (1972)
The Pink Panther (2006) | The Pink Panther (1963)
The Shaggy Dog (2006) | The Shaggy Dog (1959)
Pulse (2006) | Pulse (2001)
The Lake House (2006) | Il Mare (2000)
The Departed (2006) | Infernal Affairs (2002)
School for Scoundrels (2006) | School for Scoundrels (1960)
Charlotte's Web (2006) | Charlotte's Web (1973)
Halloween (2007) | Halloween (1978)
The Hitcher (2007) | The Hitcher (1986)
3:10 to Yuma (2007) | 3:10 to Yuma (1957)
