Here is my best attempt at a comprehensive list:
Athletics (Track and Field) | 1896–Present
Swimming | 1896–Present
Gymnastics (Artistic) | 1896–Present
Fencing | 1896–Present
Cycling (Track) | 1896–Present
Cycling (Road) | 1896–Present
Weightlifting | 1896, 1904, 1920–Present
Wrestling | 1896, 1904–Present
Shooting | 1896–Present
Tennis | 1896–1924, 1988–Present
Rowing | 1900–Present
Football (Soccer) | 1900–Present
Water Polo | 1900–Present
Sailing | 1900–Present
Equestrian | 1900, 1912–Present
Archery | 1900–1920, 1972–Present
Golf | 1900–1904, 2016–Present
Cricket | 1900
Croquet | 1900
Basque Pelota | 1900
Polo | 1900, 1908, 1920, 1924, 1936
Tug of War | 1900–1920
Diving | 1904–Present
Boxing | 1904–1908, 1920–Present
Roque | 1904
Lacrosse | 1904–1908
Racquets | 1908
Jeu de Paume | 1908
Motor Boating | 1908
Field Hockey | 1908, 1920–Present
Figure Skating | 1908, 1920, 1924–Present
Modern Pentathlon | 1912–Present
Ice Hockey | 1920, 1924–Present
Cross-Country Skiing | 1924–Present
Ski Jumping | 1924–Present
Nordic Combined | 1924–Present
Speed Skating | 1924–Present
Bobsled | 1924–Present
Curling | 1924, 1998–Present
Skeleton | 1928, 1948, 2002–Present
Basketball | 1936–Present
Canoe Sprint | 1936–Present
Handball | 1936, 1972–Present
Alpine Skiing | 1936–Present
Biathlon | 1960–Present
Volleyball | 1964–Present
Judo | 1964, 1972–Present
Luge | 1964–Present
Canoe Slalom | 1972, 1992–Present
Gymnastics (Rhythmic) | 1984–Present
Artistic Swimming (Synchronized Swimming) | 1984–Present
Table Tennis | 1988–Present
Badminton | 1992–Present
Baseball | 1992–2008, 2020
Short Track Speed Skating | 1992–Present
Freestyle Skiing | 1992–Present
Beach Volleyball | 1996–Present
Softball | 1996–2008, 2020
Cycling (Mountain Bike) | 1996–Present
Snowboard | 1998–Present
Taekwondo | 2000–Present
Triathlon | 2000–Present
Trampoline | 2000–Present
Rugby Sevens | 2016–Present
Marathon Swimming | 2008–Present
Cycling (BMX Racing) | 2008–Present
Cycling (BMX Freestyle) | 2020–Present
Skateboarding | 2020–Present
Sport Climbing | 2020–Present
Surfing | 2020–Present
Karate | 2020
3x3 Basketball | 2020–Present
Breaking | 2024
Rugby Union (15s) | 1900–1924
