[to 'artist'. note that the thinking had a huge list, not sure it actually used it all]

Here is my attempt at a comprehensive list:
Venus of Willendorf | Unknown
Great Sphinx of Giza | Unknown
Bust of Nefertiti | Thutmose
Colossi of Memnon | Unknown
Seated Scribe | Unknown
Lamassu | Unknown
Tell Asmar Votive Figures | Unknown
Ram in a Thicket | Unknown
Dancing Girl of Mohenjo-daro | Unknown
Lion Capital of Ashoka | Unknown
Olmec Colossal Heads | Unknown
Coatlicue | Unknown
Chac Mool | Unknown
Moai | Unknown
Terracotta Army | Unknown
Nok Head | Unknown
Ife Bronze Head | Unknown
Benin Bronze Head | Unknown
Peplos Kore | Unknown
Calf Bearer (Moschophoros) | Unknown
Anavysos Kouros | Unknown
Kritios Boy | Unknown
Charioteer of Delphi | Unknown
Artemision Bronze | Unknown
Riace Bronzes | Unknown
Discobolus | Myron
Doryphoros | Polykleitos
Diadumenos | Polykleitos
Athena Parthenos | Phidias
Statue of Zeus at Olympia | Phidias
Caryatids of the Erechtheion | Unknown
Aphrodite of Knidos | Praxiteles
Hermes and the Infant Dionysus | Praxiteles
Apollo Sauroctonus | Praxiteles
Apoxyomenos | Lysippos
Colossus of Rhodes | Chares of Lindos
Nike of Paionios | Paionios
Winged Victory of Samothrace | Unknown
Venus de Milo | Alexandros of Antioch
Laocoön and His Sons | Agesander, Athenodoros, and Polydorus
Apollo Belvedere | Leochares (attributed)
Belvedere Torso | Apollonios of Athens
Dying Gaul | Unknown
Boxer at Rest | Unknown
Spinario (Boy with Thorn) | Unknown
Capitoline Venus | Unknown
Venus de' Medici | Cleomenes (attributed)
Farnese Hercules | Glycon (after Lysippos)
Farnese Bull | Apollonius and Tauriscus of Tralles
Barberini Faun | Unknown
Sleeping Hermaphroditus | Unknown
Diana of Versailles | Unknown
Wrestlers (Uffizi) | Unknown
Dancing Faun (Pompeii) | Unknown
Augustus of Prima Porta | Unknown
Equestrian Statue of Marcus Aurelius | Unknown
Capitoline Wolf | Unknown
Colossus of Constantine | Unknown
Horses of Saint Mark | Unknown
Antinous Farnese | Unknown
Leshan Giant Buddha | Unknown
Great Buddha of Kamakura | Unknown
Great Buddha of Nara | Unknown
Tian Tan Buddha | Unknown
Spring Temple Buddha | Unknown
Ushiku Daibutsu | Unknown
Sendai Daikannon | Unknown
Guanyin of the South Sea of Sanya | Unknown
Laykyun Sekkya | Unknown
Buddhas of Bamiyan | Unknown
Pensive Bodhisattva | Unknown
Nataraja (Shiva as Lord of the Dance) | Unknown
Gommateshwara | Unknown
Bamberg Horseman | Unknown
Equestrian Statue of Cangrande I della Scala | Unknown
